timestamp,equipment_id,pressure,temperature,vibration,flow_rate,is_anomaly,anomaly_type
2026-01-01 00:00:00,Pump-01,212.44,76.01,0.361,521.1,False,normal
2026-01-01 00:05:00,Pump-01,201.68,75.74,0.328,520.56,False,normal
2026-01-01 00:10:00,Pump-01,216.0,71.24,0.378,518.64,False,normal
2026-01-01 00:15:00,Pump-01,217.52,73.09,0.354,519.54,False,normal
2026-01-01 00:20:00,Pump-01,194.39,64.77,0.35,516.78,False,normal
2026-01-01 00:25:00,Pump-01,199.58,68.53,0.409,498.37,False,normal
2026-01-01 00:30:00,Pump-01,211.02,71.12,0.252,512.25,False,normal
2026-01-01 00:35:00,Pump-01,207.47,68.78,0.293,533.72,False,normal
2026-01-01 00:40:00,Pump-01,209.87,74.14,0.303,499.47,False,normal
2026-01-01 00:45:00,Pump-01,203.18,77.99,0.335,517.16,False,normal
2026-01-01 00:50:00,Pump-01,217.04,68.47,0.34,507.7,False,normal
2026-01-01 00:55:00,Pump-01,216.22,69.49,0.29,521.67,False,normal
2026-01-01 01:00:00,Pump-01,210.53,72.71,0.311,514.17,False,normal
2026-01-01 01:05:00,Pump-01,219.02,76.83,0.316,542.16,False,normal
2026-01-01 01:10:00,Pump-01,213.74,68.33,0.448,527.6,False,normal
2026-01-01 01:15:00,Pump-01,203.13,72.75,0.422,500.32,False,normal
2026-01-01 01:20:00,Pump-01,212.95,77.46,0.334,530.07,False,normal
2026-01-01 01:25:00,Pump-01,202.33,67.04,0.335,508.38,False,normal
2026-01-01 01:30:00,Pump-01,217.03,68.16,0.304,511.35,False,normal
2026-01-01 01:35:00,Pump-01,209.6,70.73,0.274,524.71,False,normal
2026-01-01 01:40:00,Pump-01,208.52,70.44,0.345,512.62,False,normal
2026-01-01 01:45:00,Pump-01,204.55,74.44,0.31,533.39,False,normal
2026-01-01 01:50:00,Pump-01,219.78,72.72,0.347,508.38,False,normal
2026-01-01 01:55:00,Pump-01,208.76,66.68,0.286,510.72,False,normal
